"acquisition_channel";"days_since_registration";"retention"
ads;7;7.595
ads;8;8.861
ads;9;9.494
ads;10;10.759
ads;11;12.025
ads;12;10.759
ads;13;9.494
ads;14;5.063
ads;15;5.063
ads;16;3.797
ads;17;5.696
ads;18;1.266
ads;19;3.165
ads;20;5.696
ads;21;8.228
ads;22;6.962
ads;23;4.430
ads;24;5.063
ads;25;5.696
ads;26;1.899
ads;27;4.430
ads;28;2.532
ads;29;4.430
ads;0;26.471
ads;1;27.941
ads;2;22.059
ads;3;16.176
ads;4;21.324
ads;5;25.735
ads;6;27.941
ads;7;7.353
ads;8;11.029
ads;9;5.882
ads;10;10.294
ads;11;6.618
ads;12;9.559
ads;13;6.618
ads;14;5.882
ads;15;2.206
ads;16;2.206
ads;17;4.412
ads;18;2.941
ads;19;5.147
ads;20;3.676
ads;21;5.147
ads;22;2.941
ads;23;2.206
ads;24;2.941
ads;25;3.676
ads;26;5.882
ads;27;5.147
ads;28;3.676
ads;29;2.206
ads;0;26.357
ads;1;27.907
ads;2;20.155
ads;3;20.155
ads;4;24.806
ads;5;18.605
ads;6;24.806
ads;7;12.403
ads;8;13.953
ads;9;14.729
ads;10;11.628
ads;11;10.078
ads;12;8.527
ads;13;9.302
ads;14;3.101
ads;15;5.426
ads;16;3.876
ads;17;7.752
ads;18;7.752
ads;19;3.876
ads;20;2.326
ads;21;3.876
ads;22;4.651
ads;23;5.426
ads;24;3.101
ads;25;3.101
ads;26;3.101
ads;27;6.202
ads;28;5.426
ads;29;5.426
ads;0;23.077
ads;1;24.476
ads;2;21.678
ads;3;26.573
ads;4;26.573
ads;5;25.874
ads;6;20.979
ads;7;13.287
ads;8;10.490
ads;9;10.490
ads;10;11.888
ads;11;8.392
ads;12;11.888
ads;13;11.888
ads;14;5.594
ads;15;4.196
ads;16;4.196
ads;17;5.594
ads;18;3.497
ads;19;6.993
ads;20;2.797
ads;21;3.497
ads;22;3.497
ads;23;4.196
ads;24;5.594
ads;25;6.993
ads;26;4.196
ads;27;2.098
ads;28;7.692
ads;29;4.895
ads;0;25.166
ads;1;21.192
ads;2;19.205
ads;3;28.477
ads;4;21.192
ads;5;24.503
ads;6;24.503
ads;7;8.609
ads;8;11.921
ads;9;10.596
ads;10;11.921
ads;11;13.245
ads;12;9.272
ads;13;11.921
ads;14;4.636
ads;15;1.987
ads;16;3.311
ads;17;3.311
ads;18;3.311
ads;19;3.311
ads;20;2.649
ads;21;4.636
ads;22;3.311
ads;23;5.298
ads;24;3.974
ads;25;5.960
ads;26;3.974
ads;27;2.649
ads;28;1.325
ads;29;1.987
ads;0;33.083
ads;1;21.053
ads;2;35.338
ads;3;24.812
ads;4;27.820
ads;5;28.571
ads;6;25.564
ads;7;12.782
ads;8;12.782
ads;9;9.774
ads;10;8.271
ads;11;13.534
ads;12;3.759
ads;13;13.534
ads;14;3.759
ads;15;2.256
ads;16;5.263
ads;17;4.511
ads;18;3.759
ads;19;4.511
ads;20;4.511
ads;21;3.759
ads;22;3.759
ads;23;3.008
ads;24;4.511
ads;25;5.263
ads;26;4.511
ads;27;3.008
ads;28;4.511
ads;29;6.015
ads;0;25.175
ads;1;23.776
ads;2;26.573
ads;3;26.573
ads;4;26.573
ads;5;27.273
ads;6;33.566
ads;7;14.685
ads;8;9.790
ads;9;12.587
ads;10;11.189
ads;11;13.287
ads;12;14.685
ads;13;14.685
ads;14;4.895
ads;15;4.196
ads;16;5.594
ads;17;3.497
ads;18;7.692
ads;19;3.497
ads;20;4.895
ads;21;4.196
ads;22;4.895
ads;23;4.895
ads;24;3.497
ads;25;5.594
ads;26;9.091
ads;27;7.692
ads;28;2.098
ads;29;2.797
ads;0;22.727
ads;1;25.000
ads;2;27.273
ads;3;29.545
ads;4;20.455
ads;5;21.212
ads;6;22.727
ads;7;11.364
ads;8;12.121
ads;9;15.152
ads;10;8.333
ads;11;6.818
ads;12;9.091
ads;13;9.848
ads;14;1.515
ads;15;2.273
ads;16;3.030
ads;17;3.030
ads;18;3.030
ads;19;3.788
ads;20;3.788
ads;21;5.303
ads;22;4.545
ads;23;1.515
ads;24;2.273
ads;25;4.545
ads;26;3.030
ads;27;3.788
ads;28;3.030
ads;29;2.273
ads;0;20.588
ads;1;21.324
ads;2;25.735
ads;3;26.471
ads;4;25.735
ads;5;25.735
ads;6;21.324
ads;7;10.294
ads;8;5.882
ads;9;11.029
ads;10;11.029
ads;11;11.765
ads;12;13.971
ads;13;14.706
ads;14;6.618
ads;15;7.353
ads;16;2.941
ads;17;5.882
ads;18;6.618
ads;19;4.412
ads;20;5.147
ads;21;4.412
ads;22;5.147
ads;23;4.412
ads;24;8.824
ads;25;4.412
ads;26;3.676
ads;27;4.412
ads;28;5.147
ads;29;3.676
ads;0;26.619
ads;1;20.144
ads;2;27.338
ads;3;19.424
ads;4;23.022
ads;5;24.460
ads;6;24.460
ads;7;10.791
ads;8;9.353
ads;9;9.353
ads;10;6.475
ads;11;7.194
ads;12;14.388
ads;13;12.230
ads;14;4.317
ads;15;1.439
ads;16;4.317
ads;17;6.475
ads;18;3.597
ads;19;2.158
ads;20;2.878
ads;21;2.158
ads;22;2.158
ads;23;7.194
ads;24;2.878
ads;25;2.158
ads;26;2.158
ads;27;4.317
ads;28;3.597
ads;29;3.597
ads;0;16.901
ads;1;28.169
ads;2;26.761
ads;3;31.690
ads;4;23.239
ads;5;26.761
ads;6;21.127
ads;7;14.085
ads;8;13.380
ads;9;13.380
ads;10;11.972
ads;11;13.380
ads;12;13.380
ads;13;9.155
ads;14;5.634
ads;15;4.930
ads;16;4.225
ads;17;3.521
ads;18;4.930
ads;19;5.634
ads;20;4.930
ads;21;4.930
ads;22;3.521
ads;23;4.930
ads;24;4.930
ads;25;4.225
ads;26;4.930
ads;27;6.338
ads;28;4.930
ads;29;3.521
ads;0;26.772
ads;1;24.409
ads;2;20.472
ads;3;26.772
ads;4;23.622
ads;5;34.646
ads;6;28.346
ads;7;14.961
ads;8;15.748
ads;9;12.598
ads;10;12.598
ads;11;15.748
ads;12;11.811
ads;13;8.661
ads;14;4.724
ads;15;2.362
ads;16;3.150
ads;17;7.087
ads;18;7.087
ads;19;4.724
ads;20;4.724
ads;21;6.299
ads;22;3.937
ads;23;3.150
ads;24;4.724
ads;25;4.724
ads;26;7.874
ads;27;8.661
ads;28;7.874
ads;29;7.087
ads;0;27.206
ads;1;22.059
ads;2;19.853
ads;3;19.118
ads;4;14.706
ads;5;19.118
ads;6;26.471
ads;7;11.765
ads;8;10.294
ads;9;8.824
ads;10;11.029
ads;11;13.971
ads;12;10.294
ads;13;13.235
ads;14;5.147
ads;15;2.206
ads;16;5.147
ads;17;5.147
ads;18;5.882
ads;19;2.941
ads;20;3.676
ads;21;4.412
ads;22;5.147
ads;23;3.676
ads;24;7.353
ads;25;5.147
ads;26;6.618
ads;27;7.353
ads;28;5.147
ads;29;3.676
ads;0;28.276
ads;1;26.207
ads;2;23.448
ads;3;20.690
ads;4;32.414
ads;5;21.379
ads;6;24.138
ads;7;7.586
ads;8;11.724
ads;9;11.034
ads;10;12.414
ads;11;15.172
ads;12;18.621
ads;13;9.655
ads;14;3.448
ads;15;1.379
ads;16;2.069
ads;17;6.207
ads;18;4.138
ads;19;4.138
ads;20;2.759
ads;21;4.828
ads;22;3.448
ads;23;3.448
ads;24;4.138
ads;25;4.828
ads;26;3.448
ads;27;3.448
ads;28;3.448
ads;29;3.448
ads;0;25.000
ads;1;25.000
ads;2;30.000
ads;3;25.000
ads;4;24.286
ads;5;25.714
ads;6;25.714
ads;7;11.429
ads;8;16.429
ads;9;11.429
ads;10;8.571
ads;11;13.571
ads;12;16.429
ads;13;12.857
ads;14;6.429
ads;15;6.429
ads;16;5.000
ads;17;5.000
ads;18;7.857
ads;19;5.000
ads;20;5.714
ads;21;7.857
ads;22;5.714
ads;23;5.714
ads;24;4.286
ads;25;3.571
ads;26;4.286
ads;27;3.571
ads;28;5.000
ads;29;6.429
ads;0;26.923
ads;1;30.000
ads;2;25.385
ads;3;26.154
ads;4;23.077
ads;5;23.846
ads;6;23.846
ads;7;13.077
ads;8;9.231
ads;9;12.308
ads;10;8.462
ads;11;6.923
ads;12;9.231
ads;13;11.538
ads;14;3.846
ads;15;3.077
ads;16;3.077
ads;17;4.615
ads;18;5.385
ads;19;1.538
ads;20;2.308
ads;21;3.846
ads;22;6.154
ads;23;3.846
ads;24;4.615
ads;25;6.154
ads;26;5.385
ads;27;5.385
ads;28;3.077
ads;29;3.077
ads;0;20.690
ads;1;20.690
ads;2;26.897
ads;3;24.138
ads;4;25.517
ads;5;30.345
ads;6;22.759
ads;7;12.414
ads;8;7.586
ads;9;11.034
ads;10;11.034
ads;11;6.207
ads;12;7.586
ads;13;11.034
ads;14;5.517
ads;15;0.690
ads;16;2.069
ads;17;3.448
ads;18;3.448
ads;19;5.517
ads;20;4.828
ads;21;5.517
ads;22;4.828
ads;23;0.690
ads;24;3.448
ads;25;4.828
ads;26;2.069
ads;27;4.828
ads;28;3.448
ads;29;2.759
ads;0;27.950
ads;1;22.981
ads;2;27.950
ads;3;25.466
ads;4;24.224
ads;5;34.161
ads;6;19.255
ads;7;13.665
ads;8;15.528
ads;9;14.286
ads;10;14.907
ads;11;14.907
ads;12;12.422
ads;13;14.286
ads;14;4.348
ads;15;1.242
ads;16;4.348
ads;17;2.484
ads;18;2.484
ads;19;3.727
ads;20;2.484
ads;21;3.106
ads;22;4.348
ads;23;4.348
ads;24;4.348
ads;25;3.727
ads;26;5.590
ads;27;3.106
ads;28;4.969
ads;29;0.621
ads;0;19.718
ads;1;28.873
ads;2;26.056
ads;3;26.761
ads;4;25.352
ads;5;21.831
ads;6;25.352
ads;7;9.155
ads;8;15.493
ads;9;12.676
ads;10;10.563
ads;11;14.789
ads;12;8.451
ads;13;13.380
ads;14;3.521
ads;15;4.225
ads;16;2.817
ads;17;3.521
ads;18;2.113
ads;19;3.521
ads;20;1.408
ads;21;4.225
ads;22;1.408
ads;23;4.930
ads;24;2.113
ads;25;7.042
ads;26;4.225
ads;27;3.521
ads;28;0.704
ads;29;4.225
ads;0;23.913
ads;1;26.087
ads;2;26.087
ads;3;28.986
ads;4;20.290
ads;5;35.507
ads;6;26.812
ads;7;13.043
ads;8;13.043
ads;9;9.420
ads;10;13.043
ads;11;17.391
ads;12;15.942
ads;13;7.971
ads;14;2.899
ads;15;6.522
ads;16;5.797
ads;17;5.797
ads;18;3.623
ads;19;3.623
ads;20;3.623
ads;21;3.623
ads;22;4.348
ads;23;6.522
ads;24;2.899
ads;25;3.623
ads;26;3.623
ads;27;4.348
ads;28;5.072
ads;29;4.348
ads;0;30.469
ads;1;26.563
ads;2;17.969
ads;3;22.656
ads;4;28.906
ads;5;30.469
ads;6;17.969
ads;7;11.719
ads;8;10.938
ads;9;12.500
ads;10;14.063
ads;11;10.156
ads;12;9.375
ads;13;10.938
ads;14;3.125
ads;15;8.594
ads;16;3.906
ads;17;3.906
ads;18;3.125
ads;19;6.250
ads;20;7.031
ads;21;7.813
ads;22;4.688
ads;23;3.906
ads;24;3.906
ads;25;5.469
ads;26;3.906
ads;27;4.688
ads;28;2.344
ads;29;7.031
ads;0;28.099
ads;1;23.967
ads;2;18.182
ads;3;22.314
ads;4;29.752
ads;5;23.967
ads;6;25.620
ads;7;13.223
ads;8;11.570
ads;9;10.744
ads;10;9.091
ads;11;11.570
ads;12;14.876
ads;13;11.570
ads;14;4.132
ads;15;3.306
ads;16;2.479
ads;17;5.785
ads;18;2.479
ads;19;4.132
ads;20;2.479
ads;21;3.306
ads;22;6.612
ads;23;4.132
ads;24;5.785
ads;25;3.306
ads;26;4.132
ads;27;4.959
ads;28;4.132
ads;29;2.479
ads;0;29.365
ads;1;29.365
ads;2;23.016
ads;3;22.222
ads;4;24.603
ads;5;22.222
ads;6;23.016
ads;7;11.111
ads;8;7.937
ads;9;11.905
ads;10;11.905
ads;11;11.905
ads;12;9.524
ads;13;6.349
ads;14;1.587
ads;15;3.175
ads;16;5.556
ads;17;3.175
ads;18;1.587
ads;19;3.175
ads;20;3.968
ads;21;2.381
ads;22;3.175
ads;23;2.381
ads;24;5.556
ads;25;2.381
ads;26;2.381
ads;27;7.143
ads;28;3.968
ads;29;4.762
ads;0;24.113
ads;1;24.113
ads;2;19.149
ads;3;28.369
ads;4;24.823
ads;5;27.660
ads;6;21.986
ads;7;11.348
ads;8;12.766
ads;9;10.638
ads;10;11.348
ads;11;13.475
ads;12;11.348
ads;13;9.220
ads;14;5.674
ads;15;7.092
ads;16;4.965
ads;17;4.965
ads;18;4.255
ads;19;1.418
ads;20;2.837
ads;21;1.418
ads;22;4.965
ads;23;3.546
ads;24;6.383
ads;25;4.255
ads;26;6.383
ads;27;4.255
ads;28;2.837
ads;29;5.674
ads;0;26.389
ads;1;15.972
ads;2;25.000
ads;3;18.056
ads;4;27.778
ads;5;17.361
ads;6;20.139
ads;7;11.806
ads;8;11.111
ads;9;5.556
ads;10;11.806
ads;11;11.806
ads;12;12.500
ads;13;10.417
ads;14;4.167
ads;15;5.556
ads;16;4.167
ads;17;7.639
ads;18;3.472
ads;19;4.861
ads;20;4.861
ads;21;4.861
ads;22;4.861
ads;23;4.861
ads;24;2.778
ads;25;6.944
ads;26;6.250
ads;27;4.861
ads;28;4.861
ads;29;4.861
ads;0;23.571
ads;1;32.143
ads;2;29.286
ads;3;18.571
ads;4;25.714
ads;5;31.429
ads;6;21.429
ads;7;12.857
ads;8;10.714
ads;9;12.143
ads;10;14.286
ads;11;16.429
ads;12;14.286
ads;13;12.857
ads;14;7.857
ads;15;5.000
ads;16;5.000
ads;17;7.143
ads;18;3.571
ads;19;6.429
ads;20;7.143
ads;21;4.286
ads;22;7.143
ads;23;8.571
ads;24;4.286
ads;25;4.286
ads;26;5.714
ads;27;5.000
ads;28;5.714
ads;29;8.571
ads;0;19.048
ads;1;21.429
ads;2;20.635
ads;3;26.984
ads;4;28.571
ads;5;23.016
ads;6;24.603
ads;7;12.698
ads;8;10.317
ads;9;9.524
ads;10;11.111
ads;11;15.873
ads;12;13.492
ads;13;17.460
ads;14;3.968
ads;15;7.937
ads;16;5.556
ads;17;5.556
ads;18;3.968
ads;19;3.175
ads;20;4.762
ads;21;2.381
ads;22;5.556
ads;23;7.143
ads;24;3.968
ads;25;5.556
ads;26;3.175
ads;27;4.762
ads;28;5.556
ads;29;3.968
ads;0;21.739
ads;1;26.087
ads;2;23.478
ads;3;26.957
ads;4;26.087
ads;5;17.391
ads;6;29.565
ads;7;13.913
ads;8;12.174
ads;9;15.652
ads;10;11.304
ads;11;13.043
ads;12;15.652
ads;13;9.565
ads;14;5.217
ads;15;5.217
ads;16;4.348
ads;17;11.304
ads;18;6.087
ads;19;6.957
ads;20;6.087
ads;21;5.217
ads;22;3.478
ads;23;4.348
ads;24;3.478
ads;25;4.348
ads;26;6.087
ads;27;5.217
ads;28;7.826
ads;29;6.087
ads;0;21.311
ads;1;27.869
ads;2;20.492
ads;3;17.213
ads;4;22.131
ads;5;22.951
ads;6;23.770
ads;7;11.475
ads;8;12.295
ads;9;13.115
ads;10;17.213
ads;11;10.656
ads;12;7.377
ads;13;13.934
ads;14;4.098
ads;15;2.459
ads;16;3.279
ads;17;4.918
ads;18;4.098
ads;19;3.279
ads;20;4.098
ads;21;4.098
ads;22;4.098
ads;23;3.279
ads;24;4.918
ads;25;7.377
ads;26;3.279
ads;27;4.918
ads;28;3.279
ads;29;4.098
ads;0;27.891
ads;1;24.490
ads;2;23.810
ads;3;23.810
ads;4;20.408
ads;5;20.408
ads;6;21.769
ads;7;12.245
ads;8;11.565
ads;9;10.204
ads;10;8.844
ads;11;8.844
ads;12;10.884
ads;13;12.245
ads;14;2.721
ads;15;5.442
ads;16;2.041
ads;17;4.762
ads;18;3.401
ads;19;2.041
ads;20;4.082
ads;21;4.082
ads;22;4.082
ads;23;7.483
ads;24;3.401
ads;25;2.721
ads;26;4.082
ads;27;4.762
ads;28;2.041
ads;29;3.401
ads;0;22.628
ads;1;32.847
ads;2;20.438
ads;3;30.657
ads;4;27.007
ads;5;21.168
ads;6;24.818
ads;7;11.679
ads;8;13.869
ads;9;11.679
ads;10;8.759
ads;11;11.679
ads;12;17.518
ads;13;10.949
ads;14;2.920
ads;15;5.109
ads;16;4.380
ads;17;1.460
ads;18;2.920
ads;19;2.920
ads;20;0.730
ads;21;2.190
ads;22;2.920
ads;23;5.109
ads;25;3.650
ads;26;5.109
ads;27;2.190
ads;28;4.380
ads;29;4.380
ads;0;21.519
ads;1;33.544
ads;2;15.190
ads;3;22.152
ads;4;24.051
ads;5;24.051
ads;6;19.620
ads;7;9.494
ads;8;10.759
ads;9;12.025
ads;10;10.127
ads;11;10.759
ads;12;15.823
ads;13;12.658
ads;14;5.063
ads;15;3.797
ads;16;3.165
ads;17;5.063
ads;18;5.696
ads;19;2.532
ads;20;3.797
ads;21;5.696
ads;22;3.165
ads;23;4.430
ads;24;6.962
ads;25;6.329
ads;26;6.329
ads;27;3.797
ads;28;5.063
ads;29;5.696
ads;0;27.143
ads;1;22.857
ads;2;20.000
ads;3;23.571
ads;4;25.000
ads;5;29.286
ads;6;28.571
ads;7;10.000
ads;8;10.714
ads;9;11.429
ads;10;8.571
ads;11;6.429
ads;12;8.571
ads;13;12.857
ads;14;4.286
ads;15;2.857
ads;16;3.571
ads;17;6.429
ads;18;5.000
ads;19;5.000
ads;20;5.000
ads;21;4.286
ads;22;2.857
ads;23;2.143
ads;24;2.143
ads;25;4.286
ads;26;3.571
ads;27;6.429
ads;28;6.429
ads;29;3.571
ads;0;22.449
ads;1;26.531
ads;2;27.211
ads;3;21.769
ads;4;25.850
ads;5;25.850
ads;6;21.769
ads;7;10.204
ads;8;12.925
ads;9;10.884
ads;10;10.204
ads;11;11.565
ads;12;12.245
ads;13;17.007
ads;14;4.762
ads;15;4.082
ads;16;4.762
ads;17;4.762
ads;18;3.401
ads;19;2.041
ads;20;2.721
ads;21;2.721
ads;22;2.721
ads;23;2.721
ads;24;3.401
ads;25;4.082
ads;26;1.361
ads;27;3.401
ads;28;2.041
ads;29;6.122
ads;0;24.306
ads;1;25.000
ads;2;30.556
ads;3;20.833
ads;4;25.000
ads;5;22.917
ads;6;21.528
ads;7;11.806
ads;8;13.889
ads;9;9.028
ads;10;11.111
ads;11;14.583
ads;12;11.111
ads;13;15.972
ads;14;5.556
ads;15;4.167
ads;16;3.472
ads;17;5.556
ads;18;3.472
ads;19;1.389
ads;20;3.472
ads;21;3.472
ads;22;3.472
ads;23;4.861
ads;24;4.861
ads;25;3.472
ads;26;5.556
ads;27;5.556
ads;28;3.472
ads;29;6.250
ads;0;25.926
ads;1;24.074
ads;2;22.840
ads;3;25.926
ads;4;22.840
ads;5;20.988
ads;6;29.630
ads;7;7.407
ads;8;8.025
ads;9;11.111
ads;10;9.877
ads;11;11.111
ads;12;11.111
ads;13;9.877
ads;14;3.086
ads;15;4.321
ads;16;2.469
ads;17;1.235
ads;18;4.321
ads;19;5.556
ads;20;4.938
ads;21;6.173
ads;22;4.938
ads;23;3.704
ads;24;3.704
ads;25;3.704
ads;26;4.321
ads;27;5.556
ads;28;6.790
ads;29;1.852
ads;0;24.793
ads;1;19.835
ads;2;24.793
ads;3;23.140
ads;4;21.488
ads;5;24.793
ads;6;28.926
ads;7;8.264
ads;8;13.223
ads;9;8.264
ads;10;14.876
ads;11;9.917
ads;12;8.264
ads;13;11.570
ads;14;2.479
ads;15;4.132
ads;16;1.653
ads;17;1.653
ads;18;1.653
ads;19;2.479
ads;20;1.653
ads;21;2.479
ads;22;4.132
ads;23;1.653
ads;25;2.479
ads;26;1.653
ads;27;2.479
ads;28;2.479
ads;29;2.479
ads;0;29.839
ads;1;22.581
ads;2;23.387
ads;3;24.194
ads;4;28.226
ads;5;25.000
ads;6;16.935
ads;7;11.290
ads;8;9.677
ads;9;14.516
ads;10;8.065
ads;11;10.484
ads;12;12.903
ads;13;12.903
ads;14;2.419
ads;15;5.645
ads;16;0.806
ads;17;2.419
ads;18;5.645
ads;19;2.419
ads;20;2.419
ads;21;2.419
ads;22;2.419
ads;23;4.032
ads;24;3.226
ads;25;0.806
ads;26;4.839
ads;27;2.419
ads;28;2.419
ads;29;4.032
ads;0;28.889
ads;1;22.963
ads;2;27.407
ads;3;24.444
ads;4;22.222
ads;5;25.185
ads;6;22.222
ads;7;8.889
ads;8;10.370
ads;9;12.593
ads;10;11.111
ads;11;10.370
ads;12;6.667
ads;13;12.593
ads;14;4.444
ads;15;0.741
ads;16;1.481
ads;17;3.704
ads;18;2.222
ads;19;3.704
ads;20;3.704
ads;21;1.481
ads;22;1.481
ads;23;3.704
ads;25;2.222
ads;26;2.963
ads;27;2.963
ads;28;0.741
ads;29;3.704
ads;0;21.127
ads;1;30.282
ads;2;24.648
ads;3;30.986
ads;4;23.239
ads;5;25.352
ads;6;26.056
ads;7;11.268
ads;8;11.268
ads;9;9.155
ads;10;19.014
ads;11;9.859
ads;12;7.746
ads;13;10.563
ads;14;4.225
ads;15;3.521
ads;16;6.338
ads;17;5.634
ads;18;4.930
ads;19;2.817
ads;20;3.521
ads;21;3.521
ads;22;5.634
